"","strategy","QALYs","cost","sample","grp"
"50","st_Oseltamivir",-0.00185402817535997,412.880497411958,17,"Group 1"
"51","st_Current",-0.00270475668296729,350.594524536886,17,"Group 1"
"52","st_Baloxavir",-0.00230092642314339,329.522407962424,18,"Group 1"
"53","st_Oseltamivir",-0.00279154599883956,290.805226070151,18,"Group 1"
"54","st_Current",-0.00348948127742636,222.314834900386,18,"Group 1"
"55","st_Baloxavir",-0.00173241942288367,390.591435407466,19,"Group 1"
"56","st_Oseltamivir",-0.00232545063989142,381.653239769813,19,"Group 1"
"57","st_Current",-0.00286448000234555,284.886662098736,19,"Group 1"
"58","st_Baloxavir",-0.0017580903491961,446.875326911756,20,"Group 1"
"59","st_Oseltamivir",-0.00215184180552406,415.974043764838,20,"Group 1"
"60","st_Current",-0.00344322363635989,356.717477100507,20,"Group 1"
"61","st_Baloxavir",-0.00176476147204159,344.279677221298,21,"Group 1"
"62","st_Oseltamivir",-0.0022844233872197,321.762921311768,21,"Group 1"
"63","st_Current",-0.00318498718161204,249.720965973317,21,"Group 1"
"64","st_Baloxavir",-0.00200938342798615,398.43025758514,22,"Group 1"
"65","st_Oseltamivir",-0.00259806865211559,379.413224729307,22,"Group 1"
"66","st_Current",-0.00355715348755856,292.336295082274,22,"Group 1"
"67","st_Baloxavir",-0.00173279414924256,410.223693829111,23,"Group 1"
"68","st_Oseltamivir",-0.00233487707441669,403.382764258407,23,"Group 1"
"69","st_Current",-0.00350268218724017,322.099870524867,23,"Group 1"
"70","st_Baloxavir",-0.00174094746411442,346.147954626166,24,"Group 1"
"71","st_Oseltamivir",-0.0023258321898292,318.228444852621,24,"Group 1"
"72","st_Current",-0.00302109203933912,241.716690908402,24,"Group 1"
"73","st_Baloxavir",-0.00310866406328512,352.621245519406,25,"Group 1"
"74","st_Oseltamivir",-0.00356558057591215,315.438380681463,25,"Group 1"
"75","st_Current",-0.00376455842733704,236.013128633388,25,"Group 1"
"76","st_Baloxavir",-0.00134656531402497,292.34408761457,26,"Group 1"
"77","st_Oseltamivir",-0.0020205986368902,291.79271248452,26,"Group 1"
"78","st_Current",-0.00287055878308234,199.735619294971,26,"Group 1"
"79","st_Baloxavir",-0.00162473051856569,370.962352234823,27,"Group 1"
"80","st_Oseltamivir",-0.00230686919817452,366.85795529055,27,"Group 1"
"81","st_Current",-0.00306100845486105,274.592701343212,27,"Group 1"
"82","st_Baloxavir",-0.00182524357081153,345.501106890812,28,"Group 1"
"83","st_Oseltamivir",-0.00255490654748395,326.559063847112,28,"Group 1"
"84","st_Current",-0.00389570111856346,249.075114234636,28,"Group 1"
"85","st_Baloxavir",-0.00142725599090669,332.032676457417,29,"Group 1"
"86","st_Oseltamivir",-0.00199647139671204,320.242463505891,29,"Group 1"
"87","st_Current",-0.0029945774610026,239.84222543085,29,"Group 1"
"88","st_Baloxavir",-0.0016318249386281,339.889168640417,30,"Group 1"
"89","st_Oseltamivir",-0.00215537359692696,319.922202853839,30,"Group 1"
"90","st_Current",-0.00319707243475642,244.245944490924,30,"Group 1"
"91","st_Baloxavir",-0.00183795172057825,417.629673059122,31,"Group 1"
"92","st_Oseltamivir",-0.0022176735246904,388.038333774047,31,"Group 1"
"93","st_Current",-0.00339800870678595,316.141078059359,31,"Group 1"
"94","st_Baloxavir",-0.00176104766917675,349.024970878391,32,"Group 1"
"95","st_Oseltamivir",-0.00249321176412408,336.010946911029,32,"Group 1"
"96","st_Current",-0.00371952526501238,249.981762642429,32,"Group 1"
"97","st_Baloxavir",-0.00192334657081023,445.800156733265,33,"Group 1"
"98","st_Oseltamivir",-0.00252328363470996,445.768934255332,33,"Group 1"
"99","st_Current",-0.00345912690930383,352.923511352041,33,"Group 1"
"100","st_Baloxavir",-0.00136303879312533,415.256104965209,34,"Group 1"
"101","st_Oseltamivir",-0.00203070643545136,406.994354619697,34,"Group 1"
"102","st_Current",-0.00317131521821039,323.343677875245,34,"Group 1"
"103","st_Baloxavir",-0.00216545139972445,384.457682839255,35,"Group 1"
"104","st_Oseltamivir",-0.00259187029556953,355.652672462352,35,"Group 1"
"105","st_Current",-0.00390290533037512,277.106176735155,35,"Group 1"
"106","st_Baloxavir",-0.00161761601060961,393.919119654269,36,"Group 1"
"107","st_Oseltamivir",-0.00212089618990877,379.337108924043,36,"Group 1"
"108","st_Current",-0.00347377125588945,293.942272134119,36,"Group 1"
"109","st_Baloxavir",-0.0020351510328363,279.001148423442,37,"Group 1"
"110","st_Oseltamivir",-0.00249763104241385,241.501369845554,37,"Group 1"
"111","st_Current",-0.00409140496625628,215.450991191479,37,"Group 1"
"112","st_Baloxavir",-0.00175349744506328,474.906063315792,38,"Group 1"
"113","st_Oseltamivir",-0.00242334633039213,440.683500010681,38,"Group 1"
"114","st_Current",-0.00330506555793818,376.470302323806,38,"Group 1"
"115","st_Baloxavir",-0.00174637088984972,369.704011669719,39,"Group 1"
"116","st_Oseltamivir",-0.00231241751674886,379.122615221372,39,"Group 1"
"117","st_Current",-0.00351246761819601,282.346713304857,39,"Group 1"
"118","st_Baloxavir",-0.00169136105320941,369.261160520068,40,"Group 1"
"119","st_Oseltamivir",-0.00242297516974376,339.898418825143,40,"Group 1"
"120","st_Current",-0.00357059175439272,268.155858710505,40,"Group 1"
"121","st_Baloxavir",-0.00191614462719675,382.528371761803,41,"Group 1"
"122","st_Oseltamivir",-0.00249065413716509,354.704633211915,41,"Group 1"
"123","st_Current",-0.00316547449730545,278.117045567024,41,"Group 1"
"124","st_Baloxavir",-0.00151050698128265,335.306058927977,42,"Group 1"
"125","st_Oseltamivir",-0.00207335602867497,338.178450735004,42,"Group 1"
"126","st_Current",-0.00305447025019829,240.379861020832,42,"Group 1"
"127","st_Baloxavir",-0.0021531027406479,358.409892773085,43,"Group 1"
"128","st_Oseltamivir",-0.00252671571206763,320.362737836477,43,"Group 1"
"129","st_Current",-0.003840545269101,255.131839048197,43,"Group 1"
"130","st_Baloxavir",-0.00183321472780656,503.731660715509,44,"Group 1"
"131","st_Oseltamivir",-0.0025275654734687,490.989102693754,44,"Group 1"
"132","st_Current",-0.00329964043915895,406.715695646847,44,"Group 1"
"133","st_Baloxavir",-0.00195639669340619,459.680826159307,45,"Group 1"
"134","st_Oseltamivir",-0.00242433964933101,442.851879065439,45,"Group 1"
"135","st_Current",-0.00373760508386746,367.110324960692,45,"Group 1"
"136","st_Baloxavir",-0.00185873405203993,427.294489698562,46,"Group 1"
"137","st_Oseltamivir",-0.00254825484841411,399.937497721606,46,"Group 1"
"138","st_Current",-0.00281569217056067,322.944312542061,46,"Group 1"
"139","st_Baloxavir",-0.00159354560398095,314.445123671526,47,"Group 1"
"140","st_Oseltamivir",-0.00205561027056605,293.581761514028,47,"Group 1"
"141","st_Current",-0.00292691775892332,212.494876759135,47,"Group 1"
"142","st_Baloxavir",-0.00161194237089223,391.497564165339,48,"Group 1"
"143","st_Oseltamivir",-0.00207645955944573,383.11170592433,48,"Group 1"
"144","st_Current",-0.00307551515937395,306.671381022888,48,"Group 1"
"145","st_Baloxavir",-0.00205133637984316,420.817596518469,49,"Group 1"
"146","st_Oseltamivir",-0.00217662087276012,376.466661321448,49,"Group 1"
"147","st_Current",-0.00375151600455179,324.95885896694,49,"Group 1"
"148","st_Baloxavir",-0.00146506544664181,368.397558683344,50,"Group 1"
"149","st_Oseltamivir",-0.00245929701455783,336.522002667143,50,"Group 1"
"150","st_Current",-0.00304219410181772,272.78734721501,50,"Group 1"
"151","st_Baloxavir",-0.00152935050207077,347.031019070677,51,"Group 1"
"152","st_Oseltamivir",-0.0021899512305193,345.630453198101,51,"Group 1"
"153","st_Current",-0.00291034252436145,270.001797663877,51,"Group 1"
"154","st_Baloxavir",-0.00148337023260431,385.410849541508,52,"Group 1"
"155","st_Oseltamivir",-0.00203892659548893,392.949379305787,52,"Group 1"
"156","st_Current",-0.00312632795935521,302.66634251699,52,"Group 1"
"157","st_Baloxavir",-0.00139340893251737,390.218610844375,53,"Group 1"
"158","st_Oseltamivir",-0.00206470699466855,367.937568629489,53,"Group 1"
"159","st_Current",-0.0024722162476554,290.484798655467,53,"Group 1"
"160","st_Baloxavir",-0.00183559320784565,392.79679783044,54,"Group 1"
"161","st_Oseltamivir",-0.00257244529081393,378.201224148852,54,"Group 1"
"162","st_Current",-0.00362718032633177,295.53561192979,54,"Group 1"
"163","st_Baloxavir",-0.00168993157905107,402.116830076831,55,"Group 1"
"164","st_Oseltamivir",-0.0020965585576562,387.021758183054,55,"Group 1"
"165","st_Current",-0.00332641846419253,317.373178155859,55,"Group 1"
"166","st_Baloxavir",-0.00162421602000227,397.709500398186,56,"Group 1"
"167","st_Oseltamivir",-0.00200391698956969,354.861958540304,56,"Group 1"
"168","st_Current",-0.00288046374875689,287.499941800615,56,"Group 1"
"169","st_Baloxavir",-0.00128899694588056,372.325074563872,57,"Group 1"
"170","st_Oseltamivir",-0.00154323450819706,333.477942532196,57,"Group 1"
"171","st_Current",-0.002979828993764,300.506513273979,57,"Group 1"
"172","st_Baloxavir",-0.00194070523291502,387.676626776993,58,"Group 1"
"173","st_Oseltamivir",-0.00261011210996462,374.358714494978,58,"Group 1"
"174","st_Current",-0.00322592725650134,291.984826673663,58,"Group 1"
"175","st_Baloxavir",-0.00171235729318347,374.403744197986,59,"Group 1"
"176","st_Oseltamivir",-0.00266425191985575,360.347144493831,59,"Group 1"
"177","st_Current",-0.00349916235505668,292.535798111283,59,"Group 1"
"178","st_Baloxavir",-0.00160866782793889,381.383887774035,60,"Group 1"
"179","st_Oseltamivir",-0.00196802134557243,360.772645185202,60,"Group 1"
"180","st_Current",-0.00289200244332605,281.793036301049,60,"Group 1"
"181","st_Baloxavir",-0.00153557125286354,323.263258532367,61,"Group 1"
"182","st_Oseltamivir",-0.00225426194495859,312.821118727355,61,"Group 1"
"183","st_Current",-0.0025952216917327,227.08911364788,61,"Group 1"
"184","st_Baloxavir",-0.00172607426697717,278.585843429505,62,"Group 1"
"185","st_Oseltamivir",-0.00258535532602332,260.711292388743,62,"Group 1"
"186","st_Current",-0.0031875061051948,173.200997584285,62,"Group 1"
"187","st_Baloxavir",-0.00126079872596577,234.557922502482,63,"Group 1"
"188","st_Oseltamivir",-0.00213908719020738,242.139932565537,63,"Group 1"
"189","st_Current",-0.00243627119029662,139.858948682411,63,"Group 1"
"190","st_Baloxavir",-0.001869224030264,444.296356956002,64,"Group 1"
"191","st_Oseltamivir",-0.00236594032681199,413.131911800737,64,"Group 1"
"192","st_Current",-0.00350997196034123,350.899315542323,64,"Group 1"
"193","st_Baloxavir",-0.00144284790434459,449.391032395064,65,"Group 1"
"194","st_Oseltamivir",-0.00192582547060075,436.67267745685,65,"Group 1"
"195","st_Current",-0.00296505492685284,358.604699007756,65,"Group 1"
"196","st_Baloxavir",-0.00228981840229403,422.740334110269,66,"Group 1"
"197","st_Oseltamivir",-0.00288600327648977,375.368657397884,66,"Group 1"
"198","st_Current",-0.00333289865009583,312.363983691855,66,"Group 1"
"199","st_Baloxavir",-0.00218135202249649,335.534188364853,67,"Group 1"
"200","st_Oseltamivir",-0.0027280439283723,310.564328276376,67,"Group 1"
"201","st_Current",-0.00401023419090842,251.135306388227,67,"Group 1"
"202","st_Baloxavir",-0.00168283115499709,309.095518857368,68,"Group 1"
"203","st_Oseltamivir",-0.00226411819211338,275.787519718791,68,"Group 1"
"204","st_Current",-0.00288979255206696,202.880942636299,68,"Group 1"
"205","st_Baloxavir",-0.00149965255666963,370.978832232876,69,"Group 1"
"206","st_Oseltamivir",-0.00217295430433899,345.560992089459,69,"Group 1"
"207","st_Current",-0.00327501715591702,288.734352754876,69,"Group 1"
"208","st_Baloxavir",-0.00171936466557022,375.706217224817,70,"Group 1"
"209","st_Oseltamivir",-0.00239449793714751,371.877768372371,70,"Group 1"
"210","st_Current",-0.00305221807362113,276.373830745083,70,"Group 1"
"211","st_Baloxavir",-0.00166719607398427,389.191021578253,71,"Group 1"
"212","st_Oseltamivir",-0.00271174711480652,374.96914889403,71,"Group 1"
"213","st_Current",-0.00305428995868432,292.802835928144,71,"Group 1"
"214","st_Baloxavir",-0.00183964964283823,376.158753777054,72,"Group 1"
"215","st_Oseltamivir",-0.00253963711959294,380.298076668167,72,"Group 1"
"216","st_Current",-0.00370838529731432,306.679196087822,72,"Group 1"
"217","st_Baloxavir",-0.00205865237947306,434.764120369923,73,"Group 1"
"218","st_Oseltamivir",-0.00258445814896574,407.60376196556,73,"Group 1"
"219","st_Current",-0.00437946793696594,351.928389739009,73,"Group 1"
"220","st_Baloxavir",-0.00181760201485649,465.505912517712,74,"Group 1"
"221","st_Oseltamivir",-0.00221484485104619,434.526657684751,74,"Group 1"
"222","st_Current",-0.00264308143213485,352.131309977655,74,"Group 1"
"223","st_Baloxavir",-0.00238843533744042,326.548269548502,75,"Group 1"
"224","st_Oseltamivir",-0.00287289713401566,311.610512815681,75,"Group 1"
"225","st_Current",-0.00425104187652568,242.400773822959,75,"Group 1"
"226","st_Baloxavir",-0.00159206919649631,382.831753982146,76,"Group 1"
"227","st_Oseltamivir",-0.00217760331093737,345.980476071288,76,"Group 1"
"228","st_Current",-0.00302303848127774,282.571790122332,76,"Group 1"
"229","st_Baloxavir",-0.00166982895915288,305.246618675192,77,"Group 1"
"230","st_Oseltamivir",-0.0022377977729531,297.516034640906,77,"Group 1"
"231","st_Current",-0.00287483041551868,201.158770150275,77,"Group 1"
"232","st_Baloxavir",-0.00203877144808369,431.028112406966,78,"Group 1"
"233","st_Oseltamivir",-0.0028216781717141,414.665474961603,78,"Group 1"
"234","st_Current",-0.00333853234069397,324.891211781504,78,"Group 1"
"235","st_Baloxavir",-0.00172132851068054,472.315218870782,79,"Group 1"
"236","st_Oseltamivir",-0.00254689928369924,463.643406718138,79,"Group 1"
"237","st_Current",-0.00322959760978295,374.469943321725,79,"Group 1"
"238","st_Baloxavir",-0.0018751444547106,358.508149661339,80,"Group 1"
"239","st_Oseltamivir",-0.0027683550061609,350.465126245784,80,"Group 1"
"240","st_Current",-0.00392597310053504,256.267810751239,80,"Group 1"
"241","st_Baloxavir",-0.00189789559649957,306.775420700005,81,"Group 1"
"242","st_Oseltamivir",-0.00274716627742592,315.844060473957,81,"Group 1"
"243","st_Current",-0.00319648783412815,213.418253868383,81,"Group 1"
"244","st_Baloxavir",-0.00184653812117062,473.20585800013,82,"Group 1"
"245","st_Oseltamivir",-0.00235623582113113,430.430010625716,82,"Group 1"
"246","st_Current",-0.00399365814598875,382.748238275755,82,"Group 1"
"247","st_Baloxavir",-0.00168896318561571,422.60859879949,83,"Group 1"
"248","st_Oseltamivir",-0.00244341187671829,402.368458686785,83,"Group 1"
"249","st_Current",-0.00392635377285078,336.997750810527,83,"Group 1"
"250","st_Baloxavir",-0.00182752664109785,379.10619235028,84,"Group 1"
"251","st_Oseltamivir",-0.0023861002117756,355.938658924599,84,"Group 1"
"252","st_Current",-0.00330504395961514,291.508794638205,84,"Group 1"
"253","st_Baloxavir",-0.00184956742221465,391.775270904981,85,"Group 1"
"254","st_Oseltamivir",-0.00233726252167284,374.788539183095,85,"Group 1"
"255","st_Current",-0.00327530823728929,304.837574165223,85,"Group 1"
"256","st_Baloxavir",-0.001547257762516,380.388071237191,86,"Group 1"
"257","st_Oseltamivir",-0.00218372108158898,367.447266562687,86,"Group 1"
"258","st_Current",-0.00281482751739914,279.645020572916,86,"Group 1"
"259","st_Baloxavir",-0.00191380203673459,474.798850720937,87,"Group 1"
"260","st_Oseltamivir",-0.00266803601376892,486.478132107402,87,"Group 1"
"261","st_Current",-0.00365690436753395,391.333995492327,87,"Group 1"
"262","st_Baloxavir",-0.00165511055037799,364.469184643793,88,"Group 1"
"263","st_Oseltamivir",-0.00206987023279144,341.482690558441,88,"Group 1"
"264","st_Current",-0.00312559450705297,268.956596033239,88,"Group 1"
"265","st_Baloxavir",-0.00166732394716279,340.539851417464,89,"Group 1"
"266","st_Oseltamivir",-0.00217583274567007,296.518065799405,89,"Group 1"
"267","st_Current",-0.00334094352597168,247.512024955743,89,"Group 1"
"268","st_Baloxavir",-0.00166423529258636,374.37306058449,90,"Group 1"
"269","st_Oseltamivir",-0.00195839656738086,338.827897014388,90,"Group 1"
"270","st_Current",-0.00323173358164873,278.764040570942,90,"Group 1"
"271","st_Baloxavir",-0.00154421301560137,402.168940275773,91,"Group 1"
"272","st_Oseltamivir",-0.00201509035443792,381.648066076812,91,"Group 1"
"273","st_Current",-0.00311645121567538,312.939075979644,91,"Group 1"
"274","st_Baloxavir",-0.00175132372714833,542.053157921067,92,"Group 1"
"275","st_Oseltamivir",-0.00246172049009417,544.842274401063,92,"Group 1"
"276","st_Current",-0.00318715493817015,442.311388194557,92,"Group 1"
"277","st_Baloxavir",-0.00188518790362728,448.684446053348,93,"Group 1"
"278","st_Oseltamivir",-0.00238492836987615,449.72131214066,93,"Group 1"
"279","st_Current",-0.00336911950039452,361.430802768464,93,"Group 1"
"280","st_Baloxavir",-0.00187960984444076,402.714448247193,94,"Group 1"
"281","st_Oseltamivir",-0.00262425856961157,371.915146968054,94,"Group 1"
"282","st_Current",-0.00362586625300672,312.708023415613,94,"Group 1"
"283","st_Baloxavir",-0.00198334968229246,435.519331964742,95,"Group 1"
"284","st_Oseltamivir",-0.00246543035715115,426.795012262057,95,"Group 1"
"285","st_Current",-0.00330717046081726,333.612931162894,95,"Group 1"
"286","st_Baloxavir",-0.00196812307137747,461.055268782845,96,"Group 1"
"287","st_Oseltamivir",-0.00259166424648683,434.322693352147,96,"Group 1"
"288","st_Current",-0.00385595241024941,381.396980604312,96,"Group 1"
"289","st_Baloxavir",-0.00192777541464208,425.09727098164,97,"Group 1"
"290","st_Oseltamivir",-0.00224613033875217,397.568925955741,97,"Group 1"
"291","st_Current",-0.00335923095822753,328.022041832181,97,"Group 1"
"292","st_Baloxavir",-0.00156949344937583,328.420784953187,98,"Group 1"
"293","st_Oseltamivir",-0.00203900373536658,331.411833853421,98,"Group 1"
"294","st_Current",-0.00282600128519878,237.233664952588,98,"Group 1"
"295","st_Baloxavir",-0.0022410368934302,355.372259281679,99,"Group 1"
"296","st_Oseltamivir",-0.00323192168449277,347.12244219424,99,"Group 1"
"297","st_Current",-0.00371106605885214,249.95312142614,99,"Group 1"
"298","st_Baloxavir",-0.00199231796274108,398.132163666354,100,"Group 1"
"299","st_Oseltamivir",-0.00241339791004982,387.74356401235,100,"Group 1"
"300","st_Current",-0.00354921959677768,296.142119630464,100,"Group 1"
"301","st_Baloxavir",-0.00187018118286553,422.470825166129,101,"Group 1"
"302","st_Oseltamivir",-0.00255203690790523,407.303469332051,101,"Group 1"
"303","st_Current",-0.00346310639097946,318.318318963416,101,"Group 1"
"304","st_Baloxavir",-0.00147994815588704,374.939274575307,102,"Group 1"
"305","st_Oseltamivir",-0.00207345711823702,361.685192820288,102,"Group 1"
"306","st_Current",-0.00273542191122244,270.92023873462,102,"Group 1"
"307","st_Baloxavir",-0.00144064247926276,363.934965777128,103,"Group 1"
"308","st_Oseltamivir",-0.00211451269954631,360.403946540259,103,"Group 1"
"309","st_Current",-0.00261377270253338,268.243278836931,103,"Group 1"
"310","st_Baloxavir",-0.00179734747637875,455.210162659108,104,"Group 1"
"311","st_Oseltamivir",-0.00226195285440475,459.201768336437,104,"Group 1"
"312","st_Current",-0.00366455797804887,361.264378922752,104,"Group 1"
"313","st_Baloxavir",-0.00166672236545105,356.689860553262,105,"Group 1"
"314","st_Oseltamivir",-0.002451570999,355.250706302576,105,"Group 1"
"315","st_Current",-0.00376330251332122,266.215408843985,105,"Group 1"
"316","st_Baloxavir",-0.00157364489366608,370.030179575418,106,"Group 1"
"317","st_Oseltamivir",-0.00207622226795717,353.208571207341,106,"Group 1"
"318","st_Current",-0.00306796832657726,268.027046304336,106,"Group 1"
"319","st_Baloxavir",-0.00131133721901041,390.081403021076,107,"Group 1"
"320","st_Oseltamivir",-0.00200681257364486,372.327577252268,107,"Group 1"
"321","st_Current",-0.00238999120954139,282.108172500418,107,"Group 1"
"322","st_Baloxavir",-0.00197976241644276,380.446599529044,108,"Group 1"
"323","st_Oseltamivir",-0.00266218154616102,369.083062985757,108,"Group 1"
"324","st_Current",-0.00364941328045301,288.751160644959,108,"Group 1"
"325","st_Baloxavir",-0.00138631364295364,408.66019702691,109,"Group 1"
"326","st_Oseltamivir",-0.00196559602063715,424.554238305856,109,"Group 1"
"327","st_Current",-0.00311559184168773,329.790403674765,109,"Group 1"
"328","st_Baloxavir",-0.00156512435430809,447.010395546291,110,"Group 1"
"329","st_Oseltamivir",-0.00206031721478353,429.340835431277,110,"Group 1"
"330","st_Current",-0.00288456097068579,348.8401211323,110,"Group 1"
"331","st_Baloxavir",-0.00179359981614453,364.684688045577,111,"Group 1"
"332","st_Oseltamivir",-0.00252153491120697,375.357467976399,111,"Group 1"
"333","st_Current",-0.00365598247163418,280.955563645463,111,"Group 1"
"334","st_Baloxavir",-0.00165360799188883,324.352479326512,112,"Group 1"
"335","st_Oseltamivir",-0.00212201055055991,294.610279943184,112,"Group 1"
"336","st_Current",-0.0032209939899899,229.402102376786,112,"Group 1"
"337","st_Baloxavir",-0.00220282041636155,376.148093250021,113,"Group 1"
"338","st_Oseltamivir",-0.00293482761603107,372.956267875662,113,"Group 1"
"339","st_Current",-0.00368528047279377,282.142571568523,113,"Group 1"
"340","st_Baloxavir",-0.00173916796127247,334.380652599889,114,"Group 1"
"341","st_Oseltamivir",-0.00239817665474193,320.697723342795,114,"Group 1"
"342","st_Current",-0.00299375715400442,243.140621007111,114,"Group 1"
"343","st_Baloxavir",-0.00161316805552638,311.403871394094,115,"Group 1"
"344","st_Oseltamivir",-0.00205405210517364,274.605817660396,115,"Group 1"
"345","st_Current",-0.00292500382510508,213.863954651858,115,"Group 1"
"346","st_Baloxavir",-0.00183643325656801,303.924734463573,116,"Group 1"
"347","st_Oseltamivir",-0.00206544707456247,271.282984278381,116,"Group 1"
"348","st_Current",-0.00349419817733685,194.853531585126,116,"Group 1"
"349","st_Baloxavir",-0.0020111262062757,426.740113124144,117,"Group 1"
"350","st_Oseltamivir",-0.0025383341630836,413.561353982319,117,"Group 1"
"351","st_Current",-0.00356060082680986,334.981495215999,117,"Group 1"
"352","st_Baloxavir",-0.00159960219490442,391.333416863511,118,"Group 1"
"353","st_Oseltamivir",-0.0022880702055047,376.202552441444,118,"Group 1"
"354","st_Current",-0.00311477070181165,317.328017086441,118,"Group 1"
"355","st_Baloxavir",-0.00180826266929439,423.166919250526,119,"Group 1"
"356","st_Oseltamivir",-0.00224576827861209,391.956161587778,119,"Group 1"
"357","st_Current",-0.00361542475139837,330.8507606086,119,"Group 1"
"358","st_Baloxavir",-0.00193448192713369,427.946822149302,120,"Group 1"
"359","st_Oseltamivir",-0.00224878008283109,435.854704260256,120,"Group 1"
"360","st_Current",-0.00331244600920769,333.25907922255,120,"Group 1"
"361","st_Baloxavir",-0.0017076491141904,417.613981743376,121,"Group 1"
"362","st_Oseltamivir",-0.00228976833563111,403.529956575951,121,"Group 1"
"363","st_Current",-0.00330377622311552,316.348847317693,121,"Group 1"
"364","st_Baloxavir",-0.00177756532703085,418.336914690041,122,"Group 1"
"365","st_Oseltamivir",-0.00217978417746251,400.250259697143,122,"Group 1"
"366","st_Current",-0.00316077446280356,324.544607598009,122,"Group 1"
"367","st_Baloxavir",-0.00212270690515226,408.441723374747,123,"Group 1"
"368","st_Oseltamivir",-0.00237248107734389,380.859908963357,123,"Group 1"
"369","st_Current",-0.00425650062889134,317.941313417058,123,"Group 1"
"370","st_Baloxavir",-0.00153290170708721,376.406091278315,124,"Group 1"
"371","st_Oseltamivir",-0.00220768142802449,366.070677117964,124,"Group 1"
"372","st_Current",-0.00292845545526578,275.096041395917,124,"Group 1"
"373","st_Baloxavir",-0.00148689492151937,305.599003324666,125,"Group 1"
"374","st_Oseltamivir",-0.00235285774129814,307.483310213185,125,"Group 1"
"375","st_Current",-0.00308166957774632,212.444366801563,125,"Group 1"
"376","st_Baloxavir",-0.00233014390805995,356.716427166874,126,"Group 1"
"377","st_Oseltamivir",-0.00269712079935742,355.172683171413,126,"Group 1"
